date,open,close,high,low,volume
2025-12-10,88.930,98.430,98.430,87.570,309789.000
2025-12-11,102.000,101.270,106.060,95.960,331745.000
2025-12-12,98.970,105.720,108.000,98.500,274148.000
2025-12-15,101.390,95.150,101.400,95.150,208289.000
2025-12-16,94.320,89.300,94.820,88.310,203781.000
2025-12-17,93.000,98.230,98.230,93.000,237790.000
2025-12-18,102.000,108.050,108.050,102.000,292925.000
2025-12-19,110.000,115.500,118.780,105.000,375168.000
2025-12-22,117.800,127.050,127.050,117.800,108061.000
2025-12-23,124.950,126.070,128.050,122.000,267269.000
2025-12-24,125.000,130.500,131.500,123.550,225136.000
2025-12-25,128.990,125.000,129.990,122.370,202680.000
2025-12-26,124.000,121.860,124.500,119.470,160494.000
2025-12-29,119.990,120.750,123.000,119.000,112830.000
2025-12-30,119.020,119.300,124.000,119.010,128938.000
2025-12-31,120.540,116.360,121.000,115.550,133298.000
2026-01-05,118.000,115.190,118.370,113.450,106598.000
2026-01-06,114.410,113.920,114.780,112.080,109499.000
2026-01-07,114.550,117.760,121.220,114.110,220863.000
2026-01-08,116.590,111.630,117.000,111.480,161417.000
2026-01-09,110.000,112.030,113.620,108.890,120112.000
2026-01-12,111.890,110.480,111.950,107.890,114878.000
2026-01-13,109.980,107.200,111.660,106.640,111091.000
2026-01-14,109.300,107.200,109.730,105.330,119807.000
2026-01-15,105.850,108.370,109.100,105.410,100897.000
2026-01-16,111.100,114.400,116.860,111.100,216227.000
2026-01-19,124.790,117.830,125.500,116.950,234184.000
2026-01-20,118.000,118.400,122.230,112.560,181366.000
2026-01-21,115.080,114.170,121.800,113.000,176916.000
2026-01-22,113.970,110.130,114.850,109.180,121304.000
2026-01-23,112.450,112.580,118.280,112.000,175705.000
2026-01-26,113.820,123.840,123.840,112.580,143807.000
2026-01-27,123.000,126.600,128.000,115.600,255686.000
2026-01-28,139.260,135.300,139.260,128.200,293722.000
2026-01-29,132.040,135.560,136.000,129.000,211978.000
2026-01-30,132.990,149.120,149.120,131.670,220993.000
2026-02-02,151.000,158.990,164.030,151.000,285672.000
2026-02-03,160.000,165.220,168.500,156.000,219023.000
2026-02-04,163.190,173.510,175.360,162.740,206471.000
2026-02-05,164.830,161.760,169.200,157.000,166028.000
2026-02-06,160.650,174.770,177.940,160.650,212139.000
2026-02-09,181.300,192.250,192.250,171.230,194696.000
2026-02-10,198.370,211.480,211.480,198.370,155659.000
2026-02-11,208.080,218.260,225.870,208.080,203428.000
2026-02-12,221.000,227.000,229.770,210.150,169565.000
2026-02-13,225.000,213.390,226.990,211.200,160419.000
2026-02-24,228.000,234.730,234.730,221.030,119239.000
2026-02-25,240.000,228.550,244.880,218.510,203469.000
2026-02-26,233.000,236.200,248.880,233.000,216253.000
2026-02-27,223.090,231.310,237.950,215.080,198344.000
2026-03-02,227.620,242.420,254.440,224.650,214677.000
2026-03-03,242.520,236.000,253.870,235.000,184002.000
2026-03-04,226.870,228.270,245.770,224.000,140351.000
2026-03-05,233.000,223.360,236.010,219.590,142939.000
2026-03-06,219.740,213.200,221.660,211.580,137415.000
2026-03-09,204.780,211.910,211.910,196.120,136859.000
2026-03-10,217.250,233.100,233.100,214.250,170543.000
2026-03-11,244.750,250.010,256.410,244.660,246696.000
2026-03-12,245.010,245.000,266.660,242.820,196167.000
2026-03-13,243.780,241.900,254.970,241.060,159105.000
2026-03-16,242.000,233.000,245.000,228.000,152351.000
2026-03-17,232.980,215.810,232.980,213.800,166216.000
2026-03-18,221.000,222.930,224.360,214.670,137808.000
2026-03-19,212.000,215.930,222.930,212.000,105390.000
2026-03-20,222.300,216.880,233.600,215.080,205015.000
2026-03-23,213.540,212.100,222.640,209.600,143246.000
2026-03-24,216.340,233.310,233.310,212.790,195170.000
2026-03-25,246.000,256.640,256.640,243.000,216140.000
2026-03-26,258.440,268.880,276.500,254.070,216812.000
2026-03-27,258.000,274.260,279.660,252.250,205662.000
2026-03-30,269.280,301.690,301.690,269.280,149173.000
2026-03-31,300.000,309.490,320.000,287.010,213010.000
2026-04-01,320.000,308.000,320.000,291.000,182901.000
2026-04-02,304.900,332.490,338.800,304.900,192142.000
2026-04-03,339.130,352.500,363.630,330.000,186519.000
2026-04-07,351.500,357.100,368.000,346.000,172365.000
2026-04-08,362.200,362.100,365.100,341.500,218783.000
2026-04-09,354.860,398.310,398.310,353.000,214583.000
2026-04-10,392.000,384.380,396.530,370.000,248833.000
2026-04-13,372.000,369.180,375.880,360.000,230442.000
2026-04-14,369.990,364.500,376.760,360.010,174594.000
2026-04-15,360.120,358.610,371.800,352.000,170899.000
2026-04-16,350.000,368.520,373.050,346.000,180799.000
2026-04-17,367.440,365.890,372.640,360.350,152231.000
2026-04-20,374.230,385.000,401.980,374.230,210116.000
2026-04-21,377.300,381.580,386.660,360.520,154608.000
2026-04-22,382.290,412.000,417.960,382.290,202629.000
2026-04-23,411.200,385.020,422.880,381.500,213286.000
2026-04-24,378.390,368.160,385.000,364.350,164065.000
2026-04-27,378.000,377.500,394.000,374.090,175410.000
2026-04-28,370.510,373.490,381.160,368.000,112319.000
2026-04-29,365.000,370.520,375.990,358.100,122974.000
